StateAB,County,Population,EQ_Loss,EQ_pca,EQ_risk,Fire_Loss,Fire_pca,Fire_risk,Flood_Loss,Flood_pca,Flood_risk,Hurricane_Loss,Hurricane_pca,Hurricane_risk,Mud_Loss,Mud_pca,Mud_risk,Other_Loss,Other_pca,Other_risk,Storm_Loss,Storm_pca,Storm_risk,Tornado_Loss,Tornado_pca,Tornado_risk
WV,Preston,33520,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,47872.73,1.428184069,2,0,0,1
TX,Bexar,1714773,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2107053.59,1.228765318,2,0,0,1
ND,Grand Forks,66861,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,125409.27,1.875671468,2,0,0,1
OK,Rogers,86905,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,29047.25,0.334241413,2,0,0,1
FL,Orange,1145956,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,366374.39,0.319710696,2,0,0,1
MN,Watonwan,11211,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NC,Madison,20764,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MO,Perry,18971,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
OK,Harper,3685,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MI,Wayne,1820584,0,0,1,0,0,1,128724570.8,70.70509835,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,Butts,23655,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Fluvanna,25691,1498882,58.3426881,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CO,El Paso,622263,0,0,1,0,0,1,3561960.19,5.724203737,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
SC,Fairfield,23956,0,0,1,0,0,1,143573.1,5.993200033,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MI,Clare,30926,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MS,Tallahatchie,15378,0,0,1,0,0,1,115511.72,7.511491741,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TX,Parker,116927,0,0,1,0,0,1,574242.92,4.91112335,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
FL,DeSoto,34862,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IL,Bureau,34978,0,0,1,0,0,1,860001.82,24.58693522,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CO,Jefferson,534543,0,0,1,0,0,1,4269066.57,7.986385698,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TX,Victoria,86793,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
WA,Kittitas,40915,0,0,1,0,0,1,1259409,30.78110717,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
WA,Whatcom,201140,0,0,1,0,0,1,1653639.45,8.221335637,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CO,Morgan,28159,0,0,1,0,0,1,158975.45,5.645635498,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Albemarle,98970,430218.44,4.346958068,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IL,Schuyler,7544,0,0,1,0,0,1,58872.06,7.803825557,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NE,Knox,8701,0,0,1,0,0,1,829096.1,95.28744972,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
PA,Snyder,39702,0,0,1,0,0,1,781707.77,19.68938013,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Charlottesville,43475,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TX,Marion,10546,0,0,1,932702.19,88.44132278,4,1084310.66,102.8172445,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
AR,Columbia,24552,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
PA,Dauphin,268100,0,0,1,0,0,1,24850311.24,92.69045595,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
LA,Natchitoches,39566,0,0,1,0,0,1,3186114.63,80.52657913,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NE,Burt,6858,0,0,1,0,0,1,1411963.74,205.885643,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ID,Bannock,82839,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
AL,Coffee,49948,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IL,Mason,14666,0,0,1,0,0,1,479028.08,32.66249011,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TN,Meigs,11753,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
SD,Hughes,17022,0,0,1,0,0,1,1514970.42,89.00072964,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Washington,54876,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
PA,Lycoming,116111,0,0,1,0,0,1,9653654.82,83.14160433,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
KS,Lincoln,3241,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MD,Cecil,101108,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TX,Lee,16612,0,0,1,0,0,1,394501.99,23.74801288,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,Houston,139900,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,Banks,18395,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,White,27144,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
KS,Scott,4936,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
LA,Caldwell,10132,0,0,1,0,0,1,887185.28,87.56270036,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
CO,Logan,22709,0,0,1,0,0,1,1846513.76,81.31198027,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MT,Roosevelt,10425,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3400,0.326139089,2,0,0,1
OH,Sandusky,60944,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
LA,Webster,41207,0,0,1,0,0,1,2831966.21,68.72536729,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
TN,Blount,123010,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
IN,Dubois,41889,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,Lumpkin,29966,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,202.18,0.00674698,2,0,0,1
IN,Vanderburgh,179703,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2290.5,0.012746031,2,0,0,1
GA,Wheeler,7421,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,119.82,0.016146072,2,0,0,1
MO,Holt,4912,0,0,1,0,0,1,1724250.5,351.0281963,2,0,0,1,0,0,1,0,0,1,132.67,0.027009365,2,0,0,1
CO,Larimer,299630,0,0,1,0,0,1,16059934.5,53.59922071,2,0,0,1,0,0,1,0,0,1,12332,0.041157427,2,0,0,1
NE,Richardson,8363,0,0,1,0,0,1,125891,15.05333014,2,0,0,1,0,0,1,0,0,1,448.5,0.05362908,2,0,0,1
WV,Jefferson,53498,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3294.24,0.061576881,2,0,0,1
OH,Highland,43589,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
FL,Levy,40801,0,0,1,0,0,1,0,0,1,526327.88,12.89987696,2,0,0,1,0,0,1,4843.94,0.11872111,2,0,0,1
OK,Tulsa,603403,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,80731.12,0.133793037,2,0,0,1
TX,Galveston,291309,0,0,1,0,0,1,0,0,1,347395527.3,1192.532765,4,0,0,1,0,0,1,56058.23,0.192435627,2,0,0,1
IN,Hamilton,274569,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,55214.35,0.201094625,2,0,0,1
AR,Hempstead,22609,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5096.4,0.225414658,2,0,0,1
MS,Union,27134,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6789.16,0.250208594,2,0,0,1
TX,Smith,209714,0,0,1,85955.5,0.409870109,2,552322.38,2.633693411,2,107112.15,0.510753455,2,0,0,1,0,0,1,54438.57,0.259584816,2,0,0,1
FL,Collier,321520,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,84609.46,0.263154578,2,0,0,1
NC,Currituck,23547,0,0,1,0,0,1,0,0,1,1385119.78,58.82361999,2,0,0,1,0,0,1,6856.13,0.291167877,2,0,0,1
MT,Glacier,13399,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4100,0.305992985,2,0,0,1
GA,Harris,32024,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3988.79,0.12455627,2,0,0,1
CA,Solano,413344,1402341.05,3.392673052,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MI,Lapeer,88319,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ME,Oxford,57833,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
GA,Cook,17212,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
OK,Haskell,12769,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,Goochland,21717,1343757.65,61.87584151,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MO,Atchison,5685,0,0,1,0,0,1,1392924.34,245.0174741,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
VA,King George,23584,222466.64,9.432947761,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
MS,Issaquena,1406,0,0,1,0,0,1,318398.99,226.4573186,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
LA,Red River,9091,0,0,1,0,0,1,178457.77,19.6301584,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NE,Nemaha,7248,0,0,1,0,0,1,52470.9,7.239362583,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
WI,Marinette,41749,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
AZ,Yavapai,211033,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
ME,Aroostook,71870,0,0,1,0,0,1,1499708.2,20.86695701,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NE,Lincoln,36288,0,0,1,0,0,1,234879.53,6.472650187,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
